concept_id,domain_category,source,metaphor,mono_leakage,mono_leaked_words,mono_explanation,imaw_leakage,imaw_leaked_words,imaw_explanation,mono_calibrated_leakage,mono_hard_words,mono_soft_words,mono_calibrated_explanation,imaw_calibrated_leakage,imaw_hard_words,imaw_soft_words,imaw_calibrated_explanation
12,biology,CRISPR-Cas9 Gene Editing: A guide RNA (gRNA) is designed to complement a target ,A locksmith with a blueprint searching a building to find and replace one specific lock,NO,,No source-domain vocabulary detected.,NO,,"No source-domain vocabulary detected. The output successfully maps concepts from the source domain (CRISPR-Cas9) to the target domain (locksmith) without using any specific technical jargon from the source like 'DNA', 'gRNA', 'Cas9', 'sequence', or 'genome'.",NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
13,biology,Photosynthesis (Light Reactions): Chlorophyll in thylakoid membranes absorbs pho,A hydroelectric dam system powered by sunlight-driven water pumps,NO,,"No source-domain vocabulary detected. The generated output successfully abstracts the technical concepts (e.g., 'Photosystem II', 'electron', 'ATP') into new metaphorical terms ('Pump Station II', 'bucket of water', 'Power Gems') without using the original jargon.",NO,,No source-domain vocabulary detected.,NONE,,,Original: NO leakage,NONE,,,Original: NO leakage
14,biology,Immune System Adaptive Response: Dendritic cells capture antigens and present th,"A medieval kingdom's intelligence network — scouts, war council, knights, and archivists",YES,activated,"The word 'activated' is used to describe the General being authorized to act after seeing proof of an enemy. This is a direct term from the source domain ('Activated T-helpers', 'T-cells cannot activate'). While 'activate' can be a general term, its specific use here to denote the state change that enables a larger response is a clear leak from the immunological source.",NO,,No source-domain vocabulary detected.,SOFT,,activated,"The word 'activated' is a generic English verb that is perfectly natural in the target domain of a medieval kingdom's military or intelligence network (e.g., 'activating the knights', 'activating a plan'). It is not specific technical jargon from immunology like 'T-cell' or 'antigen'. The fact that it mirrors the functional state change of a T-cell is a successful structural parallel, which the rubric defines as SOFT resemblance, not leakage.",NONE,,,Original: NO leakage
15,biology,"Mitosis: A cell duplicates its chromosomes during S-phase. In prophase, chromoso",A master calligrapher copying a sacred manuscript and splitting the originals between two libraries,YES,poles,"The word 'poles' is used to describe the opposite ends of the room to which the scrolls are moved. This is a direct loan-word from the source domain of mitosis, where separating chromatids move to the opposite 'poles' of the cell. This specific term is technical jargon in the context of cell division and its use in the metaphor is a semantic leak.",YES,poles,"The word 'poles' is a specific technical term from the source domain of mitosis, referring to the opposite ends of the cell to which sister chromatids migrate. The metaphor uses this exact term ('opposing poles') instead of a more domain-native alternative like 'opposite ends of the room' or 'far walls'.",SOFT,,poles,"The word 'poles' is not exclusive technical jargon to biology. It is a common English word used to describe opposite ends of a physical space, an axis, or a concept. Its use in the target metaphor (e.g., 'opposite poles of the room') is natural and does not constitute a hard leak. It is a soft resemblance because it's a generic term that maps the structure of the source concept onto the target domain.",SOFT,,poles,"The word 'poles' is a common English word meaning 'opposite ends' or 'extremes'. While it has a specific technical meaning in the context of mitosis, it is not exclusive jargon like 'cytokinesis' or 'spindle apparatus'. Using it to describe opposite ends of a room or library is a natural, if slightly figurative, use of the word and does not constitute a hard leak from the source domain's technical vocabulary."
16,networking,TCP/IP Three-Way Handshake: A client sends a SYN packet to a server. The server ,Two Renaissance diplomats exchanging sealed letters before opening trade negotiations,YES,Handshake,"The source technical process is explicitly named the 'Three-Way Handshake'. The metaphor directly lifts this key term to name its own process the 'Florentine Handshake' and 'Handshake of Letters'. In the context of computer networking protocols, 'Handshake' is specific jargon, not a generic term, making its direct use in the metaphor's title and description a semantic leak.",YES,bidirectional,"The word 'bidirectional' is a direct lift from the source text's description ('Data can then flow bidirectionally'). While a common English word, its use in the metaphor is a direct carry-over of the technical language rather than a full translation into the target domain's vernacular, such as 'trade could flow in both directions'.",SOFT,,Handshake,"The term 'Handshake' is a common English word with a clear and natural meaning in the target domain of diplomacy (representing an agreement or formal greeting). While it is part of the source's technical term 'Three-Way Handshake', it is not source-exclusive jargon like 'SYN-ACK' or 'packet'. Its use in the metaphor leverages a pre-existing, non-technical meaning, making it a case of soft resemblance, not hard leakage.",SOFT,,bidirectional,The term 'bidirectional' is not specific technical jargon exclusive to the source domain (like 'SYN packet' or 'TCP/IP'). It is a common English adjective meaning 'in two directions' and is perfectly natural in the target metaphor domain describing trade or communication between two parties. Its use falls under the 'Soft Resemblance' category of generic English words that are natural to both domains.
17,networking,OAuth 2.0 Authorization Flow: A user clicks 'Login with Provider.' The app redir,A guest at a masquerade ball receiving a dance card from the host to access different rooms,YES,protocol,"The word 'protocol' is used twice in the explanation. In the source domain, OAuth is explicitly defined as an 'authorization protocol'. While 'protocol' has a broader English meaning, its use here is a direct transfer of a key technical term from the source domain into the metaphorical explanation.",NO,,No source-domain vocabulary detected.,SOFT,,protocol,"The word 'protocol' is a general English term meaning 'a system of rules or procedures'. This definition is highly appropriate for the target metaphor of a formal masquerade ball, which would have established rules of etiquette and access. While OAuth is technically a 'protocol', the word itself is not specific, source-domain jargon with no natural meaning in the target domain. It falls under the category of a generic word natural to both domains, making it a soft resemblance, not hard leakage.",NONE,,,Original: NO leakage
18,networking,Public Key Cryptography (RSA): Each party generates a public-private key pair. T,"A pair of magical lockboxes — anyone can lock one, but only its twin key can open it",YES,private; sign; private key; signature,"The generated output leaks source-domain vocabulary in its final summary sentence by explicitly using the terms 'private key' and 'signature' instead of the established metaphorical terms 'Master Key' and 'Signature Seal'. Additionally, a recap section uses the verb 'sign', the direct technical term for the action, and the text uses the qualifier 'private' (from 'private key') to describe the 'Master Key'.",YES,private; verify,"The term 'private' is used in 'private, secret Magical Key,' which directly leaks the source-domain term 'private key.' The metaphor had already established the key as 'secret,' making the inclusion of 'private' an unnecessary and direct leak. The term 'verify' is used to describe checking the authenticity of the 'Artisan's Wax Seal,' which is the exact technical verb from the source domain ('anyone can verify with the public key').",HARD,private key; signature,private; sign,"The phrases 'private key' and 'signature' are specific technical terms from the source domain of cryptography. Their verbatim use in the output, instead of the established metaphorical terms ('Master Key', 'Signature Seal'), constitutes hard leakage. In contrast, 'private' is a common adjective and 'sign' is a common verb, both of which are natural and semantically appropriate within the target metaphor of keys and seals, making them soft resemblance.",SOFT,,private; verify,"Both flagged words, 'private' and 'verify', are common English words that have a natural and appropriate meaning within the target metaphor domain. A magical key can certainly be described as 'private', and one would naturally 'verify' the authenticity of a magical seal. These terms are not specific technical jargon exclusive to the source domain (like 'Cas9' or 'kube-scheduler'). Their appearance in both domains is due to their generic nature and the successful structural parallel of the metaphor, which constitutes Soft Resemblance, not Hard Leakage."
19,networking,Firewall Packet Filtering: A firewall inspects incoming and outgoing packets aga,Castle gate guards checking travelers' papers against a royal decree scroll,NO,,No source-domain vocabulary detected.,YES,processing node; processor; state record; traffic,"The output leaks technical jargon from the source domain. It refers to the guard as a 'processing node' and a 'processor', calls the ledger a 'state record' (directly referencing 'connection state'), and uses the word 'traffic' to describe the flow of people, which is the literal term for data movement in networking.",NONE,,,Original: NO leakage,HARD,processing node; processor; state record,traffic,"The terms 'processing node', 'processor', and 'state record' are specific technical jargon from the source domain of computing/networking with no natural usage in the target domain of a medieval castle. They are direct vocabulary leaks. In contrast, 'traffic' is a common English word used to describe the movement of both data and people, making it a natural fit for both domains and thus a soft resemblance."
20,networking,VPN Tunneling (IPsec): Two endpoints negotiate security associations using IKE p,A secret underground passage between two castles with encoded messenger pigeons,YES,handshake,"The term 'handshake' is used to describe the initial negotiation ritual. In the source domain of networking and security protocols (like IKE), 'handshake' is specific technical jargon for the process of two endpoints establishing a connection and agreeing on parameters. Its use in the metaphor is a direct leak from the source domain's vocabulary.",YES,session,"The word 'session' is used twice, which is a direct term from the source domain ('session key', 'past sessions'). In the generated output, it appears as 'a new ""session"" of communication' and 'Cipher Ring for each session,' leaking technical jargon into the metaphor domain.",SOFT,,handshake,"The term 'handshake' is a common English word and a widely understood metaphor for establishing an agreement or proving identity. While used in networking, it is not a specific, proprietary technical term like 'IKE protocol' or 'IPsec'. It has a natural and intuitive meaning in the target metaphor of secret communication between two castles (e.g., a 'secret handshake' between guards), making it a clear case of soft resemblance.",SOFT,,session,"The word 'session' is a generic English term for a period of activity or communication. While it is used in a technical context in the source ('session key'), it has a perfectly natural, non-technical meaning in the target metaphor ('a session of communication'). It is not specific, unambiguous technical jargon like 'IPsec' or 'IKE protocol' and therefore qualifies as soft resemblance."
21,physics,Nuclear Fission in a Reactor: Uranium-235 absorbs a neutron and splits into two ,A beehive where splitting honeycombs release worker bees that split more combs,NO,,"No source-domain vocabulary detected. The generated output successfully translates all key technical concepts from the nuclear fission domain (e.g., 'neutron', 'chain reaction', 'control rods', 'moderator', 'supercritical') into novel metaphorical terms ('Worker Bee', 'the Great Buzz', 'Nectar-Rich Sponges', 'Pollen Haze', 'Roaring Frenzy') without using the original jargon.",YES,chain reaction; critical threshold,"The term 'chain reaction' is used multiple times directly from the source technical vocabulary. Instead of a metaphorical equivalent like 'self-propagating swarm' or 'cascade of splittings,' the output uses the specific scientific term. Similarly, 'critical threshold' is a leak, as 'critical' has a precise technical meaning in nuclear physics (criticality, supercritical) that is being directly imported into the metaphor's description of a runaway process.",NONE,,,Original: NO leakage,SOFT,,chain reaction; critical threshold,"Both 'chain reaction' and 'critical threshold' are phrases that have entered common English parlance. While they have precise technical meanings in nuclear physics, they are now widely and naturally used in general contexts to describe any cascading series of events or a tipping point, respectively. Their use in the beehive metaphor falls under 'Generic English words natural to both domains', making them SOFT resemblance, not HARD leakage of specific, untranslatable jargon."
22,physics,"Transistor Logic (MOSFET): A MOSFET has gate, source, and drain terminals. Apply","A drawbridge controlled by a herald's flag — raised flag opens the road, lowered flag blocks it",NO,,No source-domain vocabulary detected.,YES,Gate,"The term 'Dual-Gate Fortress' incorporates the specific source-domain technical jargon 'gate', which refers to a transistor terminal. While 'gate' is also a word in the target domain (a fortress entrance), its use in the compound name 'Dual-Gate' directly mirrors the dual-transistor structure of the source concept (CMOS), leaking a specific technical term into the metaphor's name.",NONE,,,Original: NO leakage,SOFT,,Gate,"The word 'gate' has a primary, non-technical meaning that is entirely natural to the target domain of a fortress. It is not specific jargon like 'MOSFET' or 'threshold voltage'. The fact that it is used in a structure ('Dual-Gate') that mirrors the source concept (CMOS) is a structural parallel, which is the goal of a good metaphor and is explicitly defined as soft resemblance, not hard leakage."
23,physics,Thermodynamic Heat Engine (Carnot Cycle): A working fluid undergoes isothermal e,"A watermill that draws water from a hot spring, uses it to turn wheels, and drains to a cold river",NO,,"No source-domain vocabulary detected. The output successfully translates all technical thermodynamic concepts (isothermal/adiabatic processes, reservoirs, heat, efficiency) into the language of the watermill metaphor (level filling/emptying, sealed falling/rising, springs/rivers, warmth, performance based on height) without using the original jargon.",YES,system boundary; internal energy; Heat Absorption; Heat Rejection; reservoirs; efficient; efficiency,"The output contains several terms that are technical jargon from the source domain of thermodynamics. 'System boundary' and 'internal energy' are specific concepts in this field. 'Heat Absorption' and 'Heat Rejection' are direct translations of thermodynamic processes (isothermal expansion/compression) rather than metaphorical descriptions. The word 'reservoirs' is used in its specific thermodynamic sense, and 'efficiency' is a key technical metric from the source domain that has been carried over directly.",NONE,,,Original: NO leakage,HARD,system boundary; internal energy; Heat Absorption; Heat Rejection,reservoirs; efficient; efficiency,"The assessment is reclassified as HARD leakage. 'System boundary' and 'internal energy' are unambiguous technical terms from thermodynamics with no natural place in the watermill metaphor. 'Heat Absorption' and 'Heat Rejection' are direct, untranslated names for thermodynamic processes, not metaphorical descriptions. In contrast, 'reservoirs', 'efficient', and 'efficiency' are common English words that are perfectly natural for describing a watermill (a spring is a water reservoir, and any machine has an efficiency), making them soft resemblance."
24,physics,Orbital Mechanics (Hohmann Transfer): A spacecraft in a lower circular orbit fir,"A swimmer diving from a low diving board, arcing through the air, and grabbing a high trapeze bar",YES,Departure; Arrival,"The words 'Departure' and 'Arrival' are used as formal, capitalized section headers. While they are common words, in the context of the source text they are specific jargon referring to the departure and arrival orbits. Using them directly as labels in the metaphor constitutes semantic leakage.",NO,,No source-domain vocabulary detected.,SOFT,,Departure; Arrival,"The words 'Departure' and 'Arrival' are common English words, not specific technical jargon from orbital mechanics like 'apoapsis' or 'delta-v'. They have a natural meaning in the target metaphor, describing the swimmer leaving the board and reaching the trapeze. Their usage reflects a correct structural parallel between the source and target domains, which is the goal of the metaphor and constitutes soft resemblance, not hard leakage.",NONE,,,Original: NO leakage
25,physics,"Superconductivity (BCS Theory): Below a critical temperature, electrons form Coo",Ice dancers on a frozen lake — pairs glide frictionlessly until the sun warms the ice,NO,,No source-domain vocabulary detected.,YES,critical threshold; expel; expulsion; critical value,"The output directly lifts technical vocabulary from the source domain. The terms 'critical threshold' and 'critical value' are used repeatedly, mirroring the source's 'critical temperature' and 'critical values'. The specific verb 'expel' (and its noun form 'expulsion') is also taken directly from the source's description of the Meissner effect, where a magnetic field is 'expelled'.",NONE,,,Original: NO leakage,SOFT,,critical threshold; expel; expulsion; critical value,"The previously flagged words are not hard leakage. They are generic English terms that are natural in many contexts, including the target metaphor. 'Critical' is a common adjective for a turning point, and 'expel' is a common verb meaning to force out. Neither is a specific, unambiguous technical term exclusive to superconductivity (like 'phonon' or 'Meissner effect'). Their usage creates a valid structural parallel between the source and target domains, which falls under the definition of 'Soft Resemblance', not 'Hard Leakage'."
26,law,Jury Trial Process (US): The prosecution and defense select jurors through voir ,A village elders' council judging a dispute between two rival farming families,YES,testimony; guilt,"The word 'testimony' is a specific legal term from the source domain that was used directly in the metaphor. The metaphor had consistently used 'stories' as its parallel term, making the shift to 'testimony' a clear leak. Additionally, the phrase 'To find guilt' is legalistic jargon that breaks the established 'village council' metaphor.",YES,deliberate; verdict; unanimous,"The output uses 'verdict', 'unanimous', and 'deliberate', which are specific, technical terms directly from the source description of a US jury trial. A more effective metaphor would use native-domain words like 'judgment' or 'decision' instead of 'verdict', and would describe the rule as 'all elders must agree' instead of using the legal term 'unanimous'.",HARD,testimony,guilt,"The word 'testimony' is a formal, technical term from the legal domain that has no natural place in an informal village council metaphor; this constitutes a HARD leak. In contrast, 'guilt' is a common English word. While it is a key concept in the source legal domain, it is also a perfectly natural word for a village council to use when determining who is at fault in a dispute, making it a SOFT resemblance.",HARD,verdict,deliberate; unanimous,"Only 'verdict' qualifies as HARD leakage because it is a specific technical term for a formal finding in a court of law. 'Deliberate' (to consider carefully) and 'unanimous' (fully in agreement) are common English words that are perfectly natural for a group of elders making a decision, and are therefore SOFT resemblance."
27,law,Patent System: An inventor files an application disclosing the invention in full,A wizard's guild that grants exclusive rights to cast newly discovered spells,YES,skilled in the art; obvious,"The generated output directly uses the phrases 'skilled in the art' and 'obvious', which are specific legal terms of art from the patent system source domain. These phrases are the core of the non-obviousness rule and should have been translated into the metaphor's domain (e.g., 'clear to any journeyman mage') rather than being copied verbatim.",YES,Patents; prior art; patent-holder; obvious; non-obvious,"The output contains several specific technical terms from the source patent system domain. 'Patents' is used in the main title. The phrase 'prior art' is a legal term of art that was not translated into the metaphor. 'patent-holder' is also a direct copy. The terms 'obvious' and 'non-obvious' are used in their specific legal sense from the source, rather than being fully replaced by their metaphorical equivalents like 'trivial derivation'.",HARD,skilled in the art,obvious,"The phrase 'skilled in the art' is a specific legal term of art from the patent system source and has no natural place in the target wizarding metaphor; its verbatim use constitutes hard leakage. In contrast, 'obvious' is a generic English word that is perfectly natural in both the source and target domains. Its use reflects a correct structural parallel (the concept of an obvious invention/spell) rather than a vocabulary leak, making it soft resemblance.",HARD,Patents; prior art; patent-holder,obvious; non-obvious,"The terms 'Patents', 'prior art', and 'patent-holder' are unambiguous technical and legal jargon specific to the source patent system with no natural place in the target metaphor. In contrast, 'obvious' and 'non-obvious' are generic English words. Their usage to mirror the source's legal test for patentability is a structural parallel, which is correctly classified as soft resemblance, not a hard vocabulary leak."
